title,key,x,y
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2009,16.75
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2010,16.5
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2011,17.47
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2012,18.14
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/1998,15.62
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/1999,15.86
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2000,15.95
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2001,16.52
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2002,16.91
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2003,17.18
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2004,17.73
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2005,17.96
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2006,18.43
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2007,18.94
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2008,19.68
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2009,20.19
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2010,20.67
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2011,20.75
Occupations-unique-to-processing-manufacturing-and-utilities,Males,12/31/2012,21.2
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/1998,10.8
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/1999,11.02
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2000,11.27
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2001,11.44
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2002,11.95
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2003,12.4
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2004,12.81
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2005,13.16
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2006,13.44
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2007,13.72
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2008,14.14
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2009,15.1
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2010,15.08
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2011,15.65
Occupations-unique-to-processing-manufacturing-and-utilities,Females,12/31/2012,15.7 
