key,y,x,,tmp-all,,,
Alberta,1988,584.4,,1328.9,,,43.97622093
Alberta,1989,595,,1348,,,44.13946588
Alberta,1990,606.1,,1370.9,,,44.21183164
Alberta,1991,621.7,,1399.3,,,44.42935754
Alberta,1992,629.9,,1413.9,,,44.55053398
Alberta,1993,639.9,,1425.9,,,44.87691984
Alberta,1994,657.2,,1452.2,,,45.25547445
Alberta,1995,667.2,,1480.8,,,45.05672609
Alberta,1996,678.5,,1509.4,,,44.95163641
Alberta,1997,693.7,,1543.7,,,44.93748785
Alberta,1998,719.7,,1598.2,,,45.0319109
Alberta,1999,739.5,,1637,,,45.17409896
Alberta,2000,748,,1666,,,44.89795918
Alberta,2001,772.3,,1710.4,,,45.15318054
Alberta,2002,798.7,,1770.9,,,45.10136089
Alberta,2003,824.9,,1825.7,,,45.18266966
Alberta,2004,844.8,,1864.5,,,45.30973451
Alberta,2005,854.6,,1900.8,,,44.96001684
Alberta,2006,895.3,,1984.8,,,45.10781943
Alberta,2007,925.7,,2064.1,,,44.84763335
Alberta,2008,947.3,,2130.7,,,44.45956728
Alberta,2009,972.3,,2167.3,,,44.86227103
Alberta,2010,968.6,,2157.3,,,44.89871599
Alberta,2011,991.7,,2215.2,,,44.76796678
Alberta,2012,1010.9,,2253.5,,,44.85910805
British Columbia,1976,438.7,,1158.7,,,37.86139639
British Columbia,1977,449.3,,1188.3,,,37.81031726
British Columbia,1978,477.2,,1240,,,38.48387097
British Columbia,1979,505.3,,1288.2,,,39.22527558
British Columbia,1980,539.2,,1357.2,,,39.72885352
British Columbia,1981,571.3,,1416,,,40.3460452
British Columbia,1982,585.7,,1426.8,,,41.04990188
British Columbia,1983,596.1,,1445.7,,,41.23262088
British Columbia,1984,611.3,,1464.8,,,41.73265975
British Columbia,1985,635.6,,1493.1,,,42.56915143
British Columbia,1986,651.5,,1526.3,,,42.68492433
British Columbia,1987,672.6,,1566.8,,,42.92826142
British Columbia,1988,693.8,,1598.8,,,43.39504628
British Columbia,1989,722.3,,1659.3,,,43.53040439
British Columbia,1990,756.4,,1703,,,44.41573693
British Columbia,1991,779,,1750.8,,,44.49394562
British Columbia,1992,807.1,,1799.8,,,44.84387154
British Columbia,1993,828.6,,1847.8,,,44.84251542
British Columbia,1994,863.8,,1918.4,,,45.02710592
British Columbia,1995,880.3,,1950.9,,,45.12276385
British Columbia,1996,895.2,,1985.9,,,45.07779848
British Columbia,1997,927.4,,2031.6,,,45.64874975
British Columbia,1998,937,,2037.6,,,45.98547311
British Columbia,1999,954.3,,2064,,,46.23546512
British Columbia,2000,964.9,,2080,,,46.38942308
British Columbia,2001,965.8,,2080.7,,,46.41707118
British Columbia,2002,998.2,,2134.3,,,46.7694326
British Columbia,2003,1020.8,,2172.2,,,46.99383114
British Columbia,2004,1029.6,,2189.5,,,47.0244348
British Columbia,2005,1041.9,,2221.4,,,46.90285406
British Columbia,2006,1065.8,,2254.6,,,47.27224341
British Columbia,2007,1086.7,,2321.5,,,46.81025199
British Columbia,2008,1114,,2376.3,,,46.87960274
British Columbia,2009,1137.8,,2402.6,,,47.35702988
British Columbia,2010,1156.6,,2442.7,,,47.34924469
British Columbia,2011,1170.1,,2458,,,47.60374288
British Columbia,2012,1188.1,,2478.9,,,47.92851668
